date,open,high,low,close,tick_volume,spread,real_volume
2015-01-19,1.51274,1.5178,1.51079,1.51098,51772,8,0
2015-01-20,1.51107,1.51985,1.50577,1.51417,40874,12,0
2015-01-21,1.5142099999999998,1.51779,1.50751,1.51399,50415,14,0
2015-01-22,1.51397,1.52114,1.49714,1.50076,57253,14,0
2015-01-23,1.50087,1.50346,1.49503,1.49876,59924,11,0
2015-01-26,1.5007899999999998,1.5102600000000002,1.49858,1.50758,47625,15,0
2015-01-27,1.50751,1.52227,1.5059,1.51958,70437,1,16414778000
2015-01-28,1.51919,1.52185,1.51302,1.51364,83169,1,0
2015-01-29,1.51349,1.51616,1.50176,1.50642,46843,6,8000000
2015-01-30,1.5062600000000002,1.5095,1.49882,1.50619,47062,13,0
2015-02-02,1.5093299999999998,1.50982,1.50048,1.50373,77250,8,0
2015-02-03,1.5038,1.51969,1.49883,1.5165,86690,8,0
2015-02-04,1.5165,1.5249899999999998,1.51382,1.51801,73098,2,0
2015-02-05,1.51805,1.53427,1.51642,1.53264,81400,8,0
2015-02-06,1.5326300000000002,1.53516,1.52103,1.5225,70972,8,0
2015-02-09,1.52265,1.52662,1.52,1.52136,73909,6,0
2015-02-10,1.52134,1.52746,1.51959,1.5253,73791,8,0
2015-02-11,1.5253,1.52988,1.52184,1.52358,72072,6,0
2015-02-12,1.52351,1.54127,1.52088,1.53825,79397,6,0
2015-02-13,1.53824,1.54215,1.53705,1.53928,73170,8,0
2015-02-16,1.5417800000000002,1.54396,1.5338500000000002,1.53613,70974,8,0
2015-02-17,1.53607,1.54013,1.53156,1.53518,73475,10,0
2015-02-18,1.53517,1.54777,1.5341,1.54344,78140,8,0
2015-02-19,1.54345,1.54649,1.5404,1.54134,70165,8,0
2015-02-20,1.5412400000000002,1.54333,1.5343,1.53983,76045,1,0
2015-02-23,1.53953,1.54739,1.53321,1.54558,63625,8,0
2015-02-24,1.54554,1.54733,1.54038,1.54515,65712,8,0
2015-02-25,1.54527,1.5537999999999998,1.54465,1.55273,64527,8,0
2015-02-26,1.55279,1.55516,1.5394,1.54051,70077,8,0
2015-02-27,1.5405,1.5457999999999998,1.5384,1.54365,70621,7,0
2015-03-02,1.5415100000000002,1.54281,1.53513,1.53636,64072,8,0
2015-03-03,1.53648,1.5396999999999998,1.53442,1.53588,61215,7,0
2015-03-04,1.5359,1.53713,1.52515,1.52638,66344,6,0
2015-03-05,1.5264,1.5269,1.52149,1.52388,67554,8,0
2015-03-06,1.524,1.52554,1.50314,1.50333,69856,8,0
2015-03-09,1.50345,1.51366,1.50328,1.5127199999999998,66438,5,0
2015-03-10,1.5127000000000002,1.5128,1.50284,1.50534,86182,6,0
2015-03-11,1.5053800000000002,1.50959,1.48928,1.49281,95567,8,0
2015-03-12,1.49284,1.5026000000000002,1.48495,1.48845,88081,8,0
2015-03-13,1.48842,1.48962,1.46988,1.47397,85528,6,0
2015-03-16,1.47342,1.48529,1.47342,1.48253,84136,2,0
2015-03-17,1.48231,1.48447,1.47236,1.47428,86285,1,0
2015-03-18,1.47433,1.51648,1.46347,1.49574,99161,1,0
2015-03-19,1.4956,1.50094,1.46876,1.47543,108127,2,0
2015-03-20,1.47541,1.4988,1.47215,1.4945,91424,10,0
2015-03-23,1.49723,1.49729,1.48377,1.49535,92693,6,0
2015-03-24,1.49534,1.49835,1.48411,1.48428,98379,10,0
2015-03-25,1.48438,1.49533,1.48303,1.48844,78715,10,0
2015-03-26,1.48841,1.49933,1.48062,1.48499,91846,6,0
2015-03-27,1.48501,1.4921,1.47959,1.487,86753,8,0
2015-03-30,1.48826,1.49003,1.47527,1.48092,76570,8,0
2015-03-31,1.48082,1.4871,1.47545,1.48164,79845,14,0
2015-04-01,1.48174,1.48707,1.4739,1.48224,79563,8,0
2015-04-02,1.48227,1.48678,1.47756,1.48268,75990,4,0
2015-04-03,1.48267,1.49445,1.48095,1.49179,55162,12,0
2015-04-06,1.49179,1.49806,1.48696,1.48785,41574,6,0
2015-04-07,1.4877,1.49197,1.48021,1.48069,77935,4,0
2015-04-08,1.48068,1.49727,1.48066,1.48662,77993,4,0
2015-04-09,1.48651,1.48855,1.46847,1.47111,74435,4,0
2015-04-10,1.47113,1.47241,1.45865,1.4631,73860,4,0
2015-04-13,1.4631,1.46809,1.4565,1.46745,71071,4,0
2015-04-14,1.46748,1.48011,1.46029,1.47798,81043,4,0
2015-04-15,1.47795,1.48533,1.47004,1.48412,80617,4,0
2015-04-16,1.48412,1.4969,1.48114,1.4932,100135,8,0
2015-04-17,1.4932,1.50527,1.49154,1.49595,88033,4,0
2015-04-20,1.49595,1.49831,1.48873,1.49075,76220,4,0
2015-04-21,1.49075,1.49724,1.48557,1.49251,94903,2,0
2015-04-22,1.49251,1.50792,1.49127,1.50399,105696,2,0
2015-04-23,1.50399,1.50696,1.49593,1.50584,102206,2,0
2015-04-24,1.50584,1.51868,1.50268,1.5185499999999998,101526,2,0
2015-04-27,1.51747,1.52614,1.51065,1.5234100000000002,92943,2,0
2015-04-28,1.52296,1.53424,1.51719,1.53395,107603,2,0
2015-04-29,1.53384,1.54977,1.53274,1.54377,128457,2,0
2015-04-30,1.5437,1.54918,1.53033,1.53524,149116,2,0
2015-05-01,1.53489,1.53965,1.51141,1.51473,106499,2,0
2015-05-04,1.51432,1.51742,1.50897,1.51203,69783,1,0
2015-05-05,1.51202,1.52172,1.50899,1.51807,24244,1,0
2015-05-06,1.5179,1.52898,1.51508,1.52415,43336,1,0
2015-05-07,1.5241,1.5274299999999998,1.51647,1.5243600000000002,18854,3,0
2015-05-08,1.5247000000000002,1.55207,1.5245,1.54426,34842,6,0
2015-05-11,1.54484,1.5612,1.53925,1.55847,68349,7,0
2015-05-12,1.55843,1.57096,1.55565,1.56681,105687,8,0
2015-05-13,1.5668,1.57683,1.56333,1.57436,82150,7,0
2015-05-14,1.5744,1.58139,1.57283,1.57747,94140,7,0
2015-05-15,1.57752,1.5807600000000002,1.57005,1.57271,84612,7,0
2015-05-18,1.57384,1.57446,1.56372,1.56515,82942,1,0
2015-05-19,1.56519,1.56689,1.54451,1.55099,115886,8,0
2015-05-20,1.55116,1.5587,1.54718,1.55342,129773,8,0
2015-05-21,1.55339,1.56991,1.55241,1.5659999999999998,118719,7,0
2015-05-22,1.5659999999999998,1.56888,1.54595,1.54957,114775,8,0
2015-05-25,1.54759,1.55069,1.54555,1.5467499999999998,74320,15,0
2015-05-26,1.54683,1.54747,1.53532,1.53819,120644,6,0
2015-05-27,1.53819,1.54364,1.53006,1.53499,115885,8,0
2015-05-28,1.53529,1.53847,1.52596,1.53119,118310,10,0
2015-05-29,1.53128,1.53413,1.52356,1.52842,107611,9,0
2015-06-01,1.52923,1.53038,1.51695,1.51989,130503,7,0
2015-06-02,1.51949,1.53666,1.51785,1.53424,176119,6,0
2015-06-03,1.53415,1.53743,1.52515,1.53383,98438,3,0
2015-06-04,1.53382,1.54405,1.53039,1.53608,53614,1,0
2015-06-05,1.53592,1.53688,1.51897,1.52711,181459,8,0
2015-06-08,1.52691,1.53632,1.52207,1.53471,147392,8,0
2015-06-09,1.53473,1.53884,1.52567,1.53837,168159,8,0
2015-06-10,1.53847,1.5552899999999998,1.53682,1.5528499999999998,190949,1,0
2015-06-11,1.55281,1.5533,1.54201,1.55157,145496,1,0
2015-06-12,1.55157,1.55975,1.54663,1.55571,124323,1,0
2015-06-15,1.55485,1.56133,1.5487,1.55995,108890,1,0
2015-06-16,1.56008,1.56536,1.55409,1.56461,134795,2,0
2015-06-17,1.56459,1.58464,1.56252,1.58303,175856,4,0
2015-06-18,1.58299,1.59292,1.58055,1.58769,164473,8,0
2015-06-19,1.58782,1.5895899999999998,1.58346,1.5876,123394,8,0
2015-06-22,1.58714,1.59093,1.58047,1.5822500000000002,128068,8,0
2015-06-23,1.5822500000000002,1.58309,1.57084,1.57286,147163,8,0
2015-06-24,1.57282,1.58021,1.56667,1.57031,139027,8,0
2015-06-25,1.5704,1.57698,1.56762,1.57455,129095,8,0
2015-06-26,1.57468,1.57663,1.57081,1.57455,118889,8,0
2015-06-29,1.5696,1.57878,1.56613,1.57352,178051,8,0
2015-06-30,1.5736,1.57755,1.56924,1.57065,159509,8,0
2015-07-01,1.57036,1.57322,1.5588,1.5614599999999998,143648,6,0
2015-07-02,1.5614400000000002,1.56394,1.55618,1.56068,126635,4,0
2015-07-03,1.56057,1.56433,1.55556,1.5577299999999998,110686,4,0
2015-07-06,1.55417,1.56278,1.55314,1.56016,130863,5,0
2015-07-07,1.56012,1.5609,1.54132,1.54609,161835,5,0
