date,open,high,low,close,tick_volume,spread,real_volume
2015-01-19,117.476,117.776,116.916,117.54,58274,6,0
2015-01-20,117.568,118.858,117.556,118.792,56341,6,0
2015-01-21,118.793,118.818,117.173,117.948,61288,6,0
2015-01-22,117.961,118.658,117.245,118.465,57786,6,0
2015-01-23,118.481,118.807,117.539,117.733,57981,7,0
2015-01-26,117.506,118.494,117.257,118.446,47259,6,0
2015-01-27,118.452,118.651,117.334,117.862,60004,2,0
2015-01-28,117.865,118.259,117.25,117.521,70361,2,0
2015-01-29,117.531,118.484,117.381,118.268,56016,2,14000000
2015-01-30,118.296,118.453,117.296,117.47,51983,6,0
2015-02-02,116.93,117.873,116.93,117.581,69637,2,0
2015-02-03,117.53,117.741,116.872,117.557,73829,2,0
2015-02-04,117.573,117.996,117.07,117.266,70108,1,0
2015-02-05,117.27,117.593,117.019,117.518,73039,7,0
2015-02-06,117.517,119.218,117.152,119.098,71495,7,0
2015-02-09,119.021,119.091,118.329,118.623,68747,6,0
2015-02-10,118.634,119.612,118.398,119.42,70378,7,0
2015-02-11,119.421,120.471,119.283,120.445,68687,6,0
2015-02-12,120.443,120.465,118.509,119.102,79269,6,0
2015-02-13,119.101,119.195,118.41,118.652,64922,7,0
2015-02-16,118.443,118.772,118.277,118.47,53838,7,0
2015-02-17,118.469,119.413,118.233,119.241,65930,7,0
2015-02-18,119.239,119.408,118.541,118.78,68652,7,0
2015-02-19,118.781,119.175,118.432,118.939,63728,7,0
2015-02-20,118.94,119.186,118.301,118.993,68226,1,0
2015-02-23,119.097,119.351,118.736,118.809,55689,7,0
2015-02-24,118.812,119.817,118.764,118.966,60863,7,0
2015-02-25,118.962,119.063,118.624,118.856,57624,7,0
2015-02-26,118.849,119.499,118.678,119.411,60093,7,0
2015-02-27,119.412,119.795,119.115,119.622,62144,6,0
2015-03-02,119.698,120.189,119.629,120.126,54384,7,0
2015-03-03,120.126,120.262,119.381,119.719,60058,7,0
2015-03-04,119.724,119.823,119.469,119.668,58382,6,0
2015-03-05,119.667,120.393,119.627,120.126,58980,7,0
2015-03-06,120.127,121.275,119.902,120.835,64189,7,0
2015-03-09,120.803,121.41,120.609,121.2,59867,2,0
2015-03-10,121.201,122.021,120.921,121.173,79950,6,0
2015-03-11,121.185,121.622,120.852,121.482,77275,7,0
2015-03-12,121.482,121.666,120.655,121.283,70532,7,0
2015-03-13,121.288,121.568,121.131,121.367,71800,6,0
2015-03-16,121.375,121.458,121.088,121.367,66841,1,0
2015-03-17,121.4,121.515,121.111,121.342,54347,1,0
2015-03-18,121.357,121.406,119.293,120.211,61890,1,0
2015-03-19,120.202,121.027,119.674,120.784,89680,2,0
