time,open,high,low,close,tick_volume,spread,real_volume
2015-01-19 00:00:00,1.15524,1.15734,1.15522,1.15698,9287,9,0
2015-01-19 04:00:00,1.15696,1.15733,1.15525,1.15611,8049,10,0
2015-01-19 08:00:00,1.15621,1.16273,1.15512,1.16151,13612,7,0
2015-01-19 12:00:00,1.16151,1.16223,1.15849,1.16096,8593,11,0
2015-01-19 16:00:00,1.16099,1.16381,1.15994,1.16076,7514,8,0
2015-01-19 20:00:00,1.16079,1.16161,1.16003,1.1606,2942,8,0
2015-01-20 00:00:00,1.1605,1.16084,1.15719,1.15878,3245,8,0
2015-01-20 04:00:00,1.15881,1.15887,1.15739,1.15833,3508,10,0
2015-01-20 08:00:00,1.15832,1.16082,1.15676,1.16039,8679,11,0
2015-01-20 12:00:00,1.1604,1.16138,1.15685,1.16032,8482,12,0
2015-01-20 16:00:00,1.16035,1.16035,1.15432,1.15467,9144,11,0
2015-01-20 20:00:00,1.15466,1.15565,1.15397,1.15479,3522,6,0
2015-01-21 00:00:00,1.1548,1.15642,1.15406,1.15604,2415,9,0
2015-01-21 04:00:00,1.15605,1.15749,1.15579,1.15739,3815,7,0
2015-01-21 08:00:00,1.15741,1.15875,1.15464,1.157,8446,8,0
2015-01-21 12:00:00,1.15699,1.16361,1.15645,1.16322,9353,8,0
2015-01-21 16:00:00,1.16321,1.1679,1.15644,1.15733,17071,9,0
2015-01-21 20:00:00,1.15738,1.16105,1.15614,1.16087,4679,6,0
2015-01-22 00:00:00,1.16088,1.16287,1.159,1.15976,3430,12,0
2015-01-22 04:00:00,1.15976,1.16085,1.15881,1.15903,3092,10,0
2015-01-22 08:00:00,1.15902,1.16285,1.15748,1.16227,8228,7,0
2015-01-22 12:00:00,1.16228,1.16485,1.1520299999999999,1.1561,13412,10,0
2015-01-22 16:00:00,1.15612,1.15636,1.13756,1.13816,20595,10,0
2015-01-22 20:00:00,1.13817,1.13914,1.13156,1.13642,7503,9,0
2015-01-23 00:00:00,1.1363,1.13731,1.1338300000000001,1.1360999999999999,4558,13,0
2015-01-23 04:00:00,1.1360999999999999,1.13685,1.13138,1.13351,4332,11,0
2015-01-23 08:00:00,1.13351,1.13556,1.12303,1.12323,14501,9,0
2015-01-23 12:00:00,1.12328,1.12469,1.11145,1.1234,17322,8,0
2015-01-23 16:00:00,1.12343,1.12881,1.12096,1.12547,15731,9,0
2015-01-23 20:00:00,1.12544,1.12568,1.12023,1.12032,5999,10,0
2015-01-26 00:00:00,1.11492,1.12004,1.1097,1.11683,8213,12,0
2015-01-26 04:00:00,1.11684,1.1194,1.11508,1.11843,4416,10,0
2015-01-26 08:00:00,1.11848,1.12591,1.11848,1.12498,12856,9,0
2015-01-26 12:00:00,1.12499,1.1276,1.12208,1.1268,9873,9,0
2015-01-26 16:00:00,1.12683,1.12945,1.12494,1.12786,11025,8,0
2015-01-26 20:00:00,1.12789,1.12817,1.12318,1.1237300000000001,4634,9,0
2015-01-27 00:00:00,1.12377,1.12575,1.12311,1.12483,3132,9,0
2015-01-27 04:00:00,1.12484,1.12536,1.12353,1.12377,3247,9,0
2015-01-27 08:00:00,1.12375,1.13451,1.1223,1.1317599999999999,12448,1,26218873000
2015-01-27 12:00:00,1.1317300000000001,1.1339,1.12609,1.13377,18172,1,0
2015-01-27 16:00:00,1.1338,1.14221,1.1333,1.1352,20459,1,0
2015-01-27 20:00:00,1.13519,1.13821,1.13402,1.13803,7944,1,0
2015-01-28 00:00:00,1.13803,1.13828,1.13302,1.13346,7753,3,0
2015-01-28 04:00:00,1.13345,1.13636,1.13301,1.1355,5364,6,0
2015-01-28 08:00:00,1.1355,1.13817,1.13263,1.13622,14087,1,0
2015-01-28 12:00:00,1.13624,1.13806,1.13415,1.13504,13108,1,0
2015-01-28 16:00:00,1.13508,1.13622,1.13065,1.1354,15073,1,0
2015-01-28 20:00:00,1.13536,1.13689,1.12757,1.12865,16262,1,0
2015-01-29 00:00:00,1.12867,1.12953,1.12717,1.12858,3550,2,0
2015-01-29 04:00:00,1.12868,1.12928,1.12612,1.12735,3494,10,0
2015-01-29 08:00:00,1.12735,1.13184,1.12649,1.13148,10332,6,14000000
2015-01-29 12:00:00,1.1314899999999999,1.13267,1.12901,1.13226,10958,10,0
2015-01-29 16:00:00,1.13226,1.1367,1.1278,1.13031,13017,10,0
2015-01-29 20:00:00,1.13033,1.1326100000000001,1.12941,1.13185,4457,6,0
2015-01-30 00:00:00,1.13154,1.13371,1.13154,1.13324,2628,9,0
2015-01-30 04:00:00,1.13323,1.13387,1.1320999999999999,1.1338300000000001,2691,9,0
2015-01-30 08:00:00,1.13387,1.13518,1.13035,1.1308799999999999,8459,10,0
2015-01-30 12:00:00,1.13093,1.13628,1.12919,1.13172,13392,10,0
2015-01-30 16:00:00,1.13175,1.13252,1.12782,1.12866,12387,12,0
2015-01-30 20:00:00,1.12862,1.13148,1.1277,1.1284399999999999,5340,11,0
2015-02-02 00:00:00,1.1311499999999999,1.13202,1.13001,1.13147,6411,2,0
2015-02-02 04:00:00,1.13147,1.1325,1.1305,1.1307800000000001,4546,4,0
2015-02-02 08:00:00,1.13077,1.13524,1.12918,1.13518,14188,1,0
2015-02-02 12:00:00,1.13516,1.13542,1.13019,1.13108,14365,1,0
2015-02-02 16:00:00,1.13107,1.13616,1.1308799999999999,1.1332200000000001,16084,1,0
2015-02-02 20:00:00,1.1332200000000001,1.13547,1.1331,1.13413,7395,1,0
2015-02-03 00:00:00,1.13399,1.1350500000000001,1.1333199999999999,1.13468,5561,1,0
2015-02-03 04:00:00,1.13469,1.1348,1.13216,1.13309,7327,6,0
2015-02-03 08:00:00,1.1331,1.1351499999999999,1.13122,1.1333,13914,1,0
2015-02-03 12:00:00,1.13329,1.14492,1.13313,1.14425,15461,1,0
2015-02-03 16:00:00,1.14423,1.14916,1.14196,1.1470799999999999,20809,1,0
2015-02-03 20:00:00,1.14709,1.15332,1.14709,1.14781,13844,1,0
2015-02-04 00:00:00,1.14779,1.14789,1.14551,1.14656,4552,2,0
2015-02-04 04:00:00,1.14652,1.1484,1.1454900000000001,1.14776,2663,2,0
2015-02-04 08:00:00,1.14778,1.14842,1.1436600000000001,1.14444,14762,5,0
2015-02-04 12:00:00,1.14443,1.14619,1.14295,1.14391,16559,5,0
2015-02-04 16:00:00,1.14391,1.14401,1.13998,1.14147,16683,5,0
2015-02-04 20:00:00,1.14146,1.14463,1.13155,1.13433,13218,5,0
2015-02-05 00:00:00,1.13428,1.13482,1.13035,1.13418,9837,5,0
2015-02-05 04:00:00,1.13419,1.13616,1.13364,1.13466,6026,9,0
2015-02-05 08:00:00,1.13467,1.13956,1.13312,1.1388,14654,5,0
2015-02-05 12:00:00,1.13882,1.14556,1.13738,1.14235,19171,5,0
2015-02-05 16:00:00,1.14235,1.14523,1.14172,1.14507,15468,6,0
2015-02-05 20:00:00,1.14507,1.14983,1.14495,1.14763,10272,6,0
2015-02-06 00:00:00,1.1476,1.1485,1.14605,1.14626,5755,6,0
2015-02-06 04:00:00,1.14625,1.14719,1.14606,1.14664,4260,9,0
2015-02-06 08:00:00,1.14664,1.1473,1.14405,1.14536,10767,8,0
2015-02-06 12:00:00,1.14537,1.1466,1.13511,1.13938,16934,5,0
